accuracy,perf,NUM_ITERATIONS,LOOP_SKIP,SKIP_SYNC,worker_threads
0.7585701981050819,0.001139,1,2,0,4
0.7747631352282516,0.672452,409,10,0,1
0.7795865633074935,6.520712,10797,7,0,3
1.0,0.027898,40,1,0,4
0.8491386735572782,0.001961,2,2,0,4
0.7488372093023256,0.001343,1,2,0,2
0.7579672695951766,0.00154,1,2,0,3
0.7907838070628768,0.004029,5,4,0,4
1.0,8.810442,12664,1,0,4
0.7584840654608096,18.377281,30871,10,0,4
0.8130490956072352,0.000179,0,5,0,4
0.8130490956072352,2e-06,0,1,0,1
0.8003445305770887,0.163041,121,4,0,1
0.8198105081826013,7.677414,9430,3,0,2
1.0,0.13025,84,1,0,1
0.9897071490094745,0.00466,7,1,0,4
0.8585701981050818,0.014107,21,2,0,4
0.9897071490094745,0.007305,7,1,0,2
1.0,0.024796,32,1,0,4
0.9897071490094745,0.012929,7,1,0,1
0.8032299741602067,25.676433,18445,5,0,1
0.8130490956072352,0.000166,0,1,0,3
0.7615848406546081,0.027601,49,7,0,4
0.8609388458225667,2.195413,3402,2,0,3
0.7784668389319552,15.320823,19195,7,0,2
0.771576227390181,0.211981,348,7,0,3
1.0,0.557691,352,1,0,1
1.0,0.105625,65,1,0,1
1.0,0.100861,68,1,0,1
0.7972006890611542,20.281052,32426,5,0,4
1.0,0.0667,42,1,0,1
1.0,0.100434,60,1,0,1
0.7670542635658915,16.433715,29136,10,0,4
1.0,0.932425,605,1,0,1
0.7785099052540914,20.416995,25101,5,0,2
1.0,0.021647,27,1,0,4
1.0,0.018669,28,1,0,3
0.7801464254952627,0.040236,78,8,0,4
0.7647717484926787,10.044656,16867,6,0,4
1.0,0.248758,157,1,0,1
0.8130490956072352,0.000222,0,3,0,2
0.7543927648578812,59.821727,96058,7,0,3
0.809603789836348,0.01344,13,3,0,3
1.0,22.690982,25670,1,0,2
0.797588285960379,0.004371,3,6,0,2
0.8606804478897502,0.326149,335,2,0,2
0.8633936261843238,0.007649,10,2,0,4
0.7729974160206718,0.083168,98,7,0,2
0.9999138673557278,0.018797,20,1,0,2
0.8609819121447029,0.002619,2,2,0,2
0.8509905254091301,152.82761,96041,2,0,1
0.9681739879414298,0.003882,3,1,0,3
0.8770025839793282,0.087828,47,2,0,1
0.7701981050818261,2.332048,3799,8,0,3
0.7915590008613265,0.055996,41,8,0,1
0.873987941429802,0.028919,36,2,0,3
0.867786391042205,0.01904,23,2,0,3
0.8560292850990525,0.027494,32,2,0,3
0.8518087855297157,0.47339,678,2,0,3
0.8780361757105943,0.124907,164,2,0,3
0.9999569336778639,0.017003,23,1,0,3
0.7672265288544358,0.014564,23,6,0,3
0.8694229112833765,0.020727,23,2,0,2
0.9999569336778639,0.019407,23,1,0,3
0.8562876830318691,0.234899,414,2,0,4
0.857665805340224,9.011735,5935,2,0,1
0.8667527993109388,0.020987,23,2,0,3
0.9999569336778639,0.020579,23,1,0,3
0.8130490956072352,0.000219,0,7,0,4
0.7864341085271318,0.017139,23,5,0,3
0.7976313522825151,0.01919,23,7,0,2
0.8724806201550388,0.017387,23,2,0,3
0.8130490956072352,0.000203,0,10,0,4
0.7959086993970714,0.001434,1,7,0,4
0.8130490956072352,0.000175,0,6,0,4
0.7641257536606374,0.001796,2,7,0,4
0.8130490956072352,2e-06,0,10,0,1
0.8130490956072352,0.000188,0,8,0,4
0.7950043066322137,0.001302,1,6,0,4
0.8130490956072352,0.000263,0,7,0,4
0.9920327304048234,0.007324,8,1,0,2
0.7595176571920758,0.002773,2,5,0,2
0.8130490956072352,0.000116,0,1,0,2
0.7919035314384152,0.138656,98,4,0,1
0.80770887166236,0.002567,2,3,0,2
1.0,16.430437,18171,1,0,2
0.8173126614987081,0.426877,658,3,0,3
0.8130921619293712,0.085687,60,3,0,1
0.7604220499569336,0.016434,12,5,0,1
0.864857881136951,0.13035,156,2,0,2
1.0,0.178168,223,1,0,3
0.7645564168819983,0.002717,2,6,0,2
0.8959948320413437,0.001335,1,1,0,2
0.8959948320413437,0.001361,1,1,0,2
0.9568475452196382,0.002515,2,1,0,2
0.8130490956072352,2e-06,0,1,0,1
0.7710594315245478,0.300419,353,10,0,2
0.8130490956072352,0.000248,0,1,0,3
0.7811800172265289,0.007774,12,8,0,4
0.850473729543497,1.460126,2164,2,0,3
1.0,0.671313,428,1,0,1
0.7834625322997416,2.727162,3721,7,0,2
0.9897071490094745,0.010794,7,1,0,1
1.0,5.59625,7881,1,0,3
0.8130490956072352,0.000194,0,3,0,3
1.0,0.117934,67,1,0,1
1.0,0.842995,1266,1,0,3
1.0,0.022636,26,1,0,3
0.7892334194659776,0.164124,259,5,0,3
0.8130490956072352,0.000156,0,6,0,3
0.780749354005168,7.026771,4696,5,0,1
0.8183893195521103,0.003866,4,3,0,3
0.8372523686477175,1.555543,1567,3,0,2
0.8130490956072352,0.000201,0,4,0,4
0.742807924203273,0.001134,1,2,0,3
1.0,0.375713,461,1,0,3
0.7834625322997416,9.803423,7145,10,0,1
0.7776916451335056,0.060923,45,6,0,1
0.7790697674418605,1.457769,1976,5,0,3
1.0,0.021125,35,1,0,4
0.8130490956072352,0.000257,0,6,0,4
0.8130490956072352,0.000186,0,6,0,4
0.8130490956072352,0.000218,0,4,0,3
0.775968992248062,0.001281,1,4,0,4
0.8130490956072352,0.000283,0,2,0,4
0.8130490956072352,0.000244,0,6,0,2
0.8130490956072352,0.000186,0,6,0,3
0.8130490956072352,0.000213,0,6,0,2
0.8031438415159345,0.003706,3,3,0,4
0.8130490956072352,0.000266,0,7,0,4
0.8130490956072352,0.000364,0,4,0,4
0.7793712316968131,0.001141,1,7,0,4
0.7999138673557278,0.234045,160,4,0,1
0.7687338501291989,4.785038,5644,10,0,2
0.7810938845822567,0.047953,49,6,0,2
0.872566752799311,0.21686,139,2,0,1
1.0,2.004727,3415,1,0,4
0.8130490956072352,0.000299,0,8,0,2
0.7916881998277348,55.081305,36045,4,0,1
0.8540913006029285,0.006632,5,2,0,2
0.9779500430663222,0.008423,4,1,1,1
1.0,0.783808,1306,1,0,4
0.7647286821705426,7.644272,11440,10,0,3
0.83557278208441,0.062921,105,3,1,3
0.7573643410852713,0.001155,1,2,1,3
0.7510335917312662,0.026453,42,7,0,4
0.7923341946597761,1.102877,799,5,0,1
0.7354866494401378,0.001261,1,2,0,3
0.9681739879414298,0.005891,3,1,1,1
0.9986649440137813,0.026785,15,1,1,1
0.9681739879414298,0.005903,3,1,1,1
0.9568475452196382,0.004254,2,1,1,1
0.8130490956072352,1e-06,0,1,1,1
0.8130490956072352,2e-06,0,1,1,1
0.998062015503876,0.031804,14,1,1,1
0.8512489233419466,0.138463,77,2,1,1
1.0,1.714283,2940,1,1,3
0.8613695090439276,6.789529,13500,2,1,4
